organ,slide,tissue,tech,spot_num,gene_num,involve_cancer,coord,count,image
kidney,GSE206306_GSM7166170,kidney,Visium,2468,36601,False,Visium/coord/GSE206306_GSM7166170_coord.csv,Visium/gene_exp/GSE206306_GSM7166170_count.csv,Visium/image/GSE206306_GSM7166170.png
kidney,GSE175540_GSM5924042,kidney,Visium,1451,36601,True,Visium/coord/GSE175540_GSM5924042_coord.csv,Visium/gene_exp/GSE175540_GSM5924042_count.csv,Visium/image/GSE175540_GSM5924042.png
kidney,GSE175540_GSM5924043,kidney,Visium,1439,36601,True,Visium/coord/GSE175540_GSM5924043_coord.csv,Visium/gene_exp/GSE175540_GSM5924043_count.csv,Visium/image/GSE175540_GSM5924043.png
liver,GSE240429_GSM7697870,liver,Visium,2277,36601,False,Visium/coord/GSE240429_GSM7697870_coord.csv,Visium/gene_exp/GSE240429_GSM7697870_count.csv,Visium/image/GSE240429_GSM7697870.png
liver,GSE240429_GSM7697871,liver,Visium,2265,36601,False,Visium/coord/GSE240429_GSM7697871_coord.csv,Visium/gene_exp/GSE240429_GSM7697871_count.csv,Visium/image/GSE240429_GSM7697871.png
liver,GSE245908_GSM7850822,liver,Visium,2261,36601,False,Visium/coord/GSE245908_GSM7850822_coord.csv,Visium/gene_exp/GSE245908_GSM7850822_count.csv,Visium/image/GSE245908_GSM7850822.png
liver,GSE217414_GSM6716966,liver,Visium,2317,17943,True,Visium/coord/GSE217414_GSM6716966_coord.csv,Visium/gene_exp/GSE217414_GSM6716966_count.csv,Visium/image/GSE217414_GSM6716966.png
liver,GSE240429_GSM7697869,liver,Visium,2349,36601,False,Visium/coord/GSE240429_GSM7697869_coord.csv,Visium/gene_exp/GSE240429_GSM7697869_count.csv,Visium/image/GSE240429_GSM7697869.png
liver,GSE240429_GSM7697868,liver,Visium,2378,36601,False,Visium/coord/GSE240429_GSM7697868_coord.csv,Visium/gene_exp/GSE240429_GSM7697868_count.csv,Visium/image/GSE240429_GSM7697868.png
liver,GSE243367_GSM7784333,liver,Visium,2091,36601,False,Visium/coord/GSE243367_GSM7784333_coord.csv,Visium/gene_exp/GSE243367_GSM7784333_count.csv,Visium/image/GSE243367_GSM7784333.png
liver,GSE217414_GSM6716965,liver,Visium,2091,17943,True,Visium/coord/GSE217414_GSM6716965_coord.csv,Visium/gene_exp/GSE217414_GSM6716965_count.csv,Visium/image/GSE217414_GSM6716965.png
liver,GSE223559_GSM6963122,liver,Visium,2462,33538,False,Visium/coord/GSE223559_GSM6963122_coord.csv,Visium/gene_exp/GSE223559_GSM6963122_count.csv,Visium/image/GSE223559_GSM6963122.png
liver,GSE192742_GSM5764426,liver,Visium,2501,32738,False,Visium/coord/GSE192742_GSM5764426_coord.csv,Visium/gene_exp/GSE192742_GSM5764426_count.csv,Visium/image/GSE192742_GSM5764426.png
pancreas,GSE197317_GSM5914546,pancreas,Visium,1719,36601,False,Visium/coord/GSE197317_GSM5914546_coord.csv,Visium/gene_exp/GSE197317_GSM5914546_count.csv,Visium/image/GSE197317_GSM5914546.png
pancreas,GSE233254_GSM7421790,pancreas,Visium,1684,36601,True,Visium/coord/GSE233254_GSM7421790_coord.csv,Visium/gene_exp/GSE233254_GSM7421790_count.csv,Visium/image/GSE233254_GSM7421790.png
pancreas,GSE254829_GSM8058247,pancreas,Visium,1872,17943,False,Visium/coord/GSE254829_GSM8058247_coord.csv,Visium/gene_exp/GSE254829_GSM8058247_count.csv,Visium/image/GSE254829_GSM8058247.png
pancreas,GSE224411_GSM7021871,pancreas,Visium,1872,17943,True,Visium/coord/GSE224411_GSM7021871_coord.csv,Visium/gene_exp/GSE224411_GSM7021871_count.csv,Visium/image/GSE224411_GSM7021871.png
pancreas,GSE197317_GSM5914541,pancreas,Visium,1550,36601,False,Visium/coord/GSE197317_GSM5914541_coord.csv,Visium/gene_exp/GSE197317_GSM5914541_count.csv,Visium/image/GSE197317_GSM5914541.png
pancreas,GSE197317_GSM5914542,pancreas,Visium,1546,36601,False,Visium/coord/GSE197317_GSM5914542_coord.csv,Visium/gene_exp/GSE197317_GSM5914542_count.csv,Visium/image/GSE197317_GSM5914542.png
pancreas,GSE254829_GSM8058254,pancreas,Visium,1893,17943,False,Visium/coord/GSE254829_GSM8058254_coord.csv,Visium/gene_exp/GSE254829_GSM8058254_count.csv,Visium/image/GSE254829_GSM8058254.png
pancreas,GSE197317_GSM5914543,pancreas,Visium,1498,36601,False,Visium/coord/GSE197317_GSM5914543_coord.csv,Visium/gene_exp/GSE197317_GSM5914543_count.csv,Visium/image/GSE197317_GSM5914543.png
pancreas,GSE254829_GSM8058253,pancreas,Visium,1484,17943,False,Visium/coord/GSE254829_GSM8058253_coord.csv,Visium/gene_exp/GSE254829_GSM8058253_count.csv,Visium/image/GSE254829_GSM8058253.png
pancreas,GSE233254_GSM7421781,pancreas,Visium,1371,36601,True,Visium/coord/GSE233254_GSM7421781_coord.csv,Visium/gene_exp/GSE233254_GSM7421781_count.csv,Visium/image/GSE233254_GSM7421781.png
skin,GSE197023_GSM5907083,skin,Visium,1032,21587,False,Visium/coord/GSE197023_GSM5907083_coord.csv,Visium/gene_exp/GSE197023_GSM5907083_count.csv,Visium/image/GSE197023_GSM5907083.png
skin,GSE197023_GSM5907082,skin,Visium,1045,21587,False,Visium/coord/GSE197023_GSM5907082_coord.csv,Visium/gene_exp/GSE197023_GSM5907082_count.csv,Visium/image/GSE197023_GSM5907082.png
skin,GSE197023_GSM5907081,skin,Visium,1081,21587,False,Visium/coord/GSE197023_GSM5907081_coord.csv,Visium/gene_exp/GSE197023_GSM5907081_count.csv,Visium/image/GSE197023_GSM5907081.png
skin,GSE197023_GSM5907088,skin,Visium,975,21587,False,Visium/coord/GSE197023_GSM5907088_coord.csv,Visium/gene_exp/GSE197023_GSM5907088_count.csv,Visium/image/GSE197023_GSM5907088.png
skin,GSE197023_GSM5907080,skin,Visium,1177,21587,False,Visium/coord/GSE197023_GSM5907080_coord.csv,Visium/gene_exp/GSE197023_GSM5907080_count.csv,Visium/image/GSE197023_GSM5907080.png
skin,GSE197023_GSM5907090,skin,Visium,878,21587,False,Visium/coord/GSE197023_GSM5907090_coord.csv,Visium/gene_exp/GSE197023_GSM5907090_count.csv,Visium/image/GSE197023_GSM5907090.png
skin,GSE197023_GSM5907094,skin,Visium,838,21587,False,Visium/coord/GSE197023_GSM5907094_coord.csv,Visium/gene_exp/GSE197023_GSM5907094_count.csv,Visium/image/GSE197023_GSM5907094.png
skin,GSE197023_GSM5907089,skin,Visium,815,21587,False,Visium/coord/GSE197023_GSM5907089_coord.csv,Visium/gene_exp/GSE197023_GSM5907089_count.csv,Visium/image/GSE197023_GSM5907089.png
skin,GSE197023_GSM5907079,skin,Visium,791,21587,False,Visium/coord/GSE197023_GSM5907079_coord.csv,Visium/gene_exp/GSE197023_GSM5907079_count.csv,Visium/image/GSE197023_GSM5907079.png
skin,GSE197023_GSM5907096,skin,Visium,788,21587,False,Visium/coord/GSE197023_GSM5907096_coord.csv,Visium/gene_exp/GSE197023_GSM5907096_count.csv,Visium/image/GSE197023_GSM5907096.png
prostate,Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_2,prostate,Visium,3190,33538,True,Visium/coord/Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_2_coord.csv,Visium/gene_exp/Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_2_count.csv,Visium/image/Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_2.png
prostate,Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_1,prostate,Visium,3092,33538,True,Visium/coord/Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_1_coord.csv,Visium/gene_exp/Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_1_count.csv,Visium/image/Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_1.png
prostate,Human_Prostate_10X_10082021_Visium,prostate,Visium,3043,17943,False,Visium/coord/Human_Prostate_10X_10082021_Visium_coord.csv,Visium/gene_exp/Human_Prostate_10X_10082021_Visium_count.csv,Visium/image/Human_Prostate_10X_10082021_Visium.png
prostate,Human_Prostate_10X_07122022_Visium,prostate,Visium,3460,17943,False,Visium/coord/Human_Prostate_10X_07122022_Visium_coord.csv,Visium/gene_exp/Human_Prostate_10X_07122022_Visium_count.csv,Visium/image/Human_Prostate_10X_07122022_Visium.png
prostate,Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_5,prostate,Visium,3554,33538,True,Visium/coord/Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_5_coord.csv,Visium/gene_exp/Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_5_count.csv,Visium/image/Human_Prostate_Erickson_08102022_Visium_Patient_1_H2_5.png
prostate,Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_2,prostate,Visium,2775,33538,True,Visium/coord/Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_2_coord.csv,Visium/gene_exp/Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_2_count.csv,Visium/image/Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_2.png
prostate,Human_Prostate_Erickson_08102022_Visium_Patient_1_V1_2,prostate,Visium,2736,33538,True,Visium/coord/Human_Prostate_Erickson_08102022_Visium_Patient_1_V1_2_coord.csv,Visium/gene_exp/Human_Prostate_Erickson_08102022_Visium_Patient_1_V1_2_count.csv,Visium/image/Human_Prostate_Erickson_08102022_Visium_Patient_1_V1_2.png
prostate,Human_Prostate_10X_06092021_Visium_normal,prostate,Visium,2543,17943,False,Visium/coord/Human_Prostate_10X_06092021_Visium_normal_coord.csv,Visium/gene_exp/Human_Prostate_10X_06092021_Visium_normal_count.csv,Visium/image/Human_Prostate_10X_06092021_Visium_normal.png
prostate,Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_5,prostate,Visium,3856,33538,True,Visium/coord/Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_5_coord.csv,Visium/gene_exp/Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_5_count.csv,Visium/image/Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_5.png
prostate,Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_4,prostate,Visium,4079,33538,True,Visium/coord/Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_4_coord.csv,Visium/gene_exp/Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_4_count.csv,Visium/image/Human_Prostate_Erickson_08102022_Visium_Patient_1_H1_4.png
brain,Human_Brain_Louise_02152023_Visium_Br8667_ant,brain,Visium,3658,36601,False,Visium/coord/Human_Brain_Louise_02152023_Visium_Br8667_ant_coord.csv,Visium/gene_exp/Human_Brain_Louise_02152023_Visium_Br8667_ant_count.csv,Visium/image/Human_Brain_Louise_02152023_Visium_Br8667_ant.png
brain,Human_Brain_Maynard_02082021_Visium_151669,brain,Visium,3661,33538,False,Visium/coord/Human_Brain_Maynard_02082021_Visium_151669_coord.csv,Visium/gene_exp/Human_Brain_Maynard_02082021_Visium_151669_count.csv,Visium/image/Human_Brain_Maynard_02082021_Visium_151669.png
brain,Human_Brain_Maynard_02082021_Visium_151674,brain,Visium,3673,33538,False,Visium/coord/Human_Brain_Maynard_02082021_Visium_151674_coord.csv,Visium/gene_exp/Human_Brain_Maynard_02082021_Visium_151674_count.csv,Visium/image/Human_Brain_Maynard_02082021_Visium_151674.png
brain,Human_Brain_Maynard_02082021_Visium_151673,brain,Visium,3639,33538,False,Visium/coord/Human_Brain_Maynard_02082021_Visium_151673_coord.csv,Visium/gene_exp/Human_Brain_Maynard_02082021_Visium_151673_count.csv,Visium/image/Human_Brain_Maynard_02082021_Visium_151673.png
brain,Human_Brain_Maynard_02082021_Visium_151675,brain,Visium,3592,33538,False,Visium/coord/Human_Brain_Maynard_02082021_Visium_151675_coord.csv,Visium/gene_exp/Human_Brain_Maynard_02082021_Visium_151675_count.csv,Visium/image/Human_Brain_Maynard_02082021_Visium_151675.png
brain,Human_Brain_Louise_02152023_Visium_Br6522_mid,brain,Visium,3767,36601,False,Visium/coord/Human_Brain_Louise_02152023_Visium_Br6522_mid_coord.csv,Visium/gene_exp/Human_Brain_Louise_02152023_Visium_Br6522_mid_count.csv,Visium/image/Human_Brain_Louise_02152023_Visium_Br6522_mid.png
brain,Human_Brain_Louise_02152023_Visium_Br8325_ant,brain,Visium,3529,36601,False,Visium/coord/Human_Brain_Louise_02152023_Visium_Br8325_ant_coord.csv,Visium/gene_exp/Human_Brain_Louise_02152023_Visium_Br8325_ant_count.csv,Visium/image/Human_Brain_Louise_02152023_Visium_Br8325_ant.png
brain,Human_Brain_Kwon_10162023_Visium_V10T31036_B1_Br3854,brain,Visium,3524,36601,False,Visium/coord/Human_Brain_Kwon_10162023_Visium_V10T31036_B1_Br3854_coord.csv,Visium/gene_exp/Human_Brain_Kwon_10162023_Visium_V10T31036_B1_Br3854_count.csv,Visium/image/Human_Brain_Kwon_10162023_Visium_V10T31036_B1_Br3854.png
brain,Human_Brain_Louise_02152023_Visium_Br6432_mid,brain,Visium,3511,36601,False,Visium/coord/Human_Brain_Louise_02152023_Visium_Br6432_mid_coord.csv,Visium/gene_exp/Human_Brain_Louise_02152023_Visium_Br6432_mid_count.csv,Visium/image/Human_Brain_Louise_02152023_Visium_Br6432_mid.png
brain,Human_Brain_Maynard_02082021_Visium_151670,brain,Visium,3498,33538,False,Visium/coord/Human_Brain_Maynard_02082021_Visium_151670_coord.csv,Visium/gene_exp/Human_Brain_Maynard_02082021_Visium_151670_count.csv,Visium/image/Human_Brain_Maynard_02082021_Visium_151670.png
heart,Human_Heart_Kuppe_10082022_Visium_Visium_10_CK288,heart,Visium,3420,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_Visium_10_CK288_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_Visium_10_CK288_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_Visium_10_CK288.png
heart,Human_Heart_Kuppe_10082022_Visium_AKK003_157777,heart,Visium,3377,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_AKK003_157777_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_AKK003_157777_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_AKK003_157777.png
heart,Human_Heart_Kuppe_10082022_Visium_Visium_17_CK295,heart,Visium,3535,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_Visium_17_CK295_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_Visium_17_CK295_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_Visium_17_CK295.png
heart,Human_Heart_Kuppe_10082022_Visium_Visium_5_CK283,heart,Visium,3562,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_Visium_5_CK283_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_Visium_5_CK283_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_Visium_5_CK283.png
heart,Human_Heart_Kuppe_10082022_Visium_Visium_18_CK296,heart,Visium,3580,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_Visium_18_CK296_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_Visium_18_CK296_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_Visium_18_CK296.png
heart,Human_Heart_Kuppe_10082022_Visium_Visium_14_CK292,heart,Visium,3242,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_Visium_14_CK292_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_Visium_14_CK292_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_Visium_14_CK292.png
heart,Human_Heart_Kuppe_10082022_Visium_Visium_6_CK284,heart,Visium,3642,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_Visium_6_CK284_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_Visium_6_CK284_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_Visium_6_CK284.png
heart,Human_Heart_Kuppe_10082022_Visium_Visium_12_CK290,heart,Visium,3193,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_Visium_12_CK290_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_Visium_12_CK290_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_Visium_12_CK290.png
heart,Human_Heart_Kuppe_10082022_Visium_Visium_7_CK285,heart,Visium,3656,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_Visium_7_CK285_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_Visium_7_CK285_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_Visium_7_CK285.png
heart,Human_Heart_Kuppe_10082022_Visium_Visium_20_CK298,heart,Visium,3120,36601,False,Visium/coord/Human_Heart_Kuppe_10082022_Visium_Visium_20_CK298_coord.csv,Visium/gene_exp/Human_Heart_Kuppe_10082022_Visium_Visium_20_CK298_count.csv,Visium/image/Human_Heart_Kuppe_10082022_Visium_Visium_20_CK298.png
